2,4-Dithiapentane	C3H8S2	1618-26-4
2,7-dimethyl-benzothiophene	C10H10S	16587-40-9
6-methyl-benzothiophene	C9H8S	16587-47-6
3-methyl-dibenzothiophene	C13H10S	16587-52-3
Cyclohexanone, 4-(1,1-dimethylpropyl)	C11H20O	16587-71-6
4-Chloro-3-nitrobenzaldehyde	C7H4ClNO3	16588-34-4
Iron, [5,10,15,20-tetraphenyl-21H,23H-porphinato(2-)-N21,N22,N23,N24]-, (sp-4-1)-	C44H28FeN4	16591-56-3
Bis-(tetramethylammonium) tetrachloromanganate	C8H24Cl4MnN2	16594-83-5
N,N'-bis-(4-Methylphenyl)formamidine	C15H16N2	16596-03-5
Hydrazine, 1,1-bis(2-methylpropyl)-	C8H20N2	16596-38-6
N-Aminopyrrolidine	C4H10N2	16596-41-1
2(1H)-Pyrimidinethione, tetrahydro-1,3-dimethyl-	C6H12N2S	16597-35-6
1-Adamantyl methyl ketone	C12H18O	1660-04-4
3,6-Diaminophthalimide	C8H7N3O2	1660-15-7
Aluminum chloride	AlCl2	16603-84-2
2,3-Dichlorobiphenyl	C12H8Cl2	16605-91-7
1,1'-Biphenyl, 2,4',5-trichloro-	C12H7Cl3	16606-02-3
c-P(O)CH3N(CH3)CH2CH2N(CH3)	C5H13N2OP	16606-18-1
[1-(2-Phenylethyl)vinyl]benzene	C16H16	16606-47-6
c-C6H11CH2N(CH3)2	C9H19N	16607-80-0
3-Methylene-1,5,5-trimethylcyclohexene	C10H16	16609-28-2
Tetraisopropyl methylenediphosphonate	C13H30O6P2	1660-95-3
Cobalt cation	Co+	16610-75-6
4-Chloro-2-nitrodiphenylamine	C12H9ClN2O2	16611-15-7
Ethanol, 2-(dodecylamino)-	C14H31NO	16613-87-9
5-Amino-4-cyano-pyrazole	C4H4N4	16617-46-2
3-Phenyl-1-indanone	C15H12O	16618-72-7
1,10-Phenanthroline, 4,7-diphenyl-	C24H16N2	1662-01-7
N-Acetyl-D-leucine amide	C8H16N2O2	16624-68-3
cis-1-Heptenyl ethyl ether	C9H18O	16627-10-4
Ether, ethyl 1-heptenyl, (E)-	C9H18O	16627-11-5
2-Thiophene sulfonyl chloride	C4H3ClO2S2	16629-19-9
1-Propanol, 3-(methylthio)-, acetate	C6H12O2S	16630-55-0
Acetic acid, methylthio, methyl ester	C4H8O2S	16630-66-3
e,z-3-Ethylidenecyclohexene	C8H12	16631-62-2
Cyclopentane, 1-methyl-1-propyl-	C9H18	16631-63-3
Acetic acid, 2-(2-methylpropylidene)hydrazide	C6H12N2O	166327-19-1
Ethene, (2-methoxyethoxy)-	C5H10O2	1663-35-0
tert-Butyl acrylate	C7H12O2	1663-39-4
Phosphine, 1,2-ethanediylbis[diphenyl-	C26H24P2	1663-45-2
2-Chloro-para-acetotoluidide	C9H10ClNO	16634-82-5
Benzene, (triethoxymethyl)-	C13H20O3	1663-61-2
o-Acetoacetylphenol	C10H10O3	16636-62-7
Malonyl dichloride	C3H2Cl2O2	1663-67-8
Acetanilide, 2,6-diisopropyl-	C14H21NO	16637-13-1
Peroxide, bis(1-methylethyl)	C6H14O2	16642-57-2
Silane, (methylthio)-	CH6SSi	16643-15-5
Cyclopentanecarboxylic acid	C8H15NO2	1664-35-3
1,2-Ethanediamine, N-phenyl-	C8H12N2	1664-40-0
4-Chlorophenylselenol	C6H5ClSe	16645-10-6
m-Aminocinnamic acid	C9H9NO2	1664-56-8
M-nitro cinnamic acid, methyl ester	C10H9NO4	1664-59-1
(E)-6-methyl-3,5-heptadien-2-one	C8H12O	16647-04-4
6,10-Dimethyl-4,5,9-undecatrien-2-one	C13H20O	16647-05-5
Cerium isothiocyanate heptahydrate	C3CeN3S3.H14O7	16648-21-8
Di-t-butyldiazene N-oxide	C8H18N2O	16649-52-8
Formaldehyde-d2	CD2O	1664-98-8
2,4-Cyclohexadien-1-one, 6-[(1,3-dihydro-1,3,3-trimethyl-2H-indol-2-ylidene)ethylidene]-4-nitro	C19H18N2O3	16650-15-0
Chloromethane-d2	CHD2Cl	1665-01-6
Phenol, 2-ethoxy, TMS	C11H18O2Si	16654-47-0
Ethanamine, N,N-dimethyl-2-[(trimethylsilyl)oxy]-	C7H19NOSi	16654-64-1
Metaxalone	C12H15NO3	1665-48-1
3-Hydroxycarbofuran	C12H15NO4	16655-82-6
N,N-Diethyl-N'-phenylethylenediamine	C12H20N2	1665-59-4
F2CN	CF2N	16658-17-6
Diselenide, diphenyl	C12H10Se2	1666-13-3
GALLOPAMIL	C28H40N2O5	16662-47-8
1,3-dimethylphenanthrene	C16H14	16664-45-2
cis-Alpha,beta-penteneoic acid	C5H8O2	16666-42-5
Phosphorane,(1-methylethylidene)triphenyl-	C21H21P	16666-80-1
(Z)-Hexa-1,5-diyne-3-ene	C6H4	16668-67-0
(E)-Hexa-1,5-diyne-3-ene	C6H4	16668-68-1
2-Fluoroadamantane	C10H15F	16668-83-0
3-phenylquinoline	C15H11N	1666-96-2
Cyclopropylphenylmethane	C10H12	1667-00-1
Ethanone, 1-(2,4,6-trimethylphenyl)-	C11H14O	1667-01-2
Benzene, 2-chloro-1,3,5-trimethyl-	C9H11Cl	1667-04-5
Biphenyl, 4-(chloromethyl)-,	C13H11Cl	1667-11-4
Phosphonic acid, (2-chloroethyl)-	C2H6ClO3P	16672-87-0
Carbon monoselenide	CSe	16674-18-3
2-Chloro-1,3,5-trimethylbenzene	C9H11Cl	166-74-5
Magnesium diethanoate tetrahydrate	C4H6MgO4.H8O4	16674-78-5
(E)-5-dodecenyl acetate	C14H26O2	16676-97-4
7-Dodecen-1-ol, acetate	C14H26O2	16677-06-8
2,5-Piperazinedione, 3,6-bis(2-methylpropyl)-, trans-	C12H22N2O2	16679-66-6
(l,l)-cis-3,6-Diisobutylpiperazine-2,5-dione	C12H22N2O2	16679-67-7
2,2'-((1,8-Dihydroxy-3,6-disulfo-2,7-naphthylene)bis(azo)), dibenzene arsonic acid	C22H18As2N4O14S2	1668-00-4
ClSCN	CClNS	16681-13-3
1-Methyl-1,2,3-triazole	C3H5N3	16681-65-5
4-Carboxy-1,2,3-triazole	C3H3N3O2	16681-70-2
1H-1,2,4-Triazole,5-bromo-1-methyl-	C3H4BrN3	16681-72-4
4H-1,2,4-Triazole,3-bromo-4-methyl-	C3H4BrN3	16681-73-5
1H-Tetrazole, 1-methyl-	C2H4N4	16681-77-9
2H-Tetrazole, 2-methyl-	C2H4N4	16681-78-0
1-Propanamine, 3-dibenz[b,E]oxepin-11(6H)-ylidene-N,N-dimethyl-	C19H21NO	1668-19-5
Noname	C6H10ClN3	16688-98-5
5-Nitrothiophene-2-carbonitrile	C5H2N2O2S	16689-02-4
ThH2	H2Th	16689-88-6
3-octen-2-one	C8H14O	1669-44-9
7-Dodecen-1-ol	C12H24O	16695-40-2
4-Bromo-2,5-dichlorothiophene-3-sulphonyl chloride	C4BrCl3O2S2	166964-36-9
1,11-Dibromoundecane	C11H22Br2	16696-65-4
Ethanethione,1-phenyl-	C8H8S	16696-68-7
Sulfoxide, ethyl methyl	C3H8OS	1669-98-3
N,N-Dimethyl-2,4-dinitro-aniline	C8H9N3O4	1670-17-3
Cobalt,tris(1,1,1,5,5,5-hexafluoro-2,4-pentanedionato-o,o')-,(oc-6-11)-	C15H3CoF18O6	16702-37-7
CH3OC(S)N(CH3)2	C4H9NOS	16703-45-0
(CH3)2NCOCN	C4H6N2O	16703-51-8
Ethyl N,N-dimethyloxamate	C6H11NO3	16703-52-9
2-Acetylcyclopentanone	C7H10O2	1670-46-8
Silane, (chloromethyl)ethenyldimethyl-	C5H11ClSi	16709-86-7
2-Propanone, diethylhydrazone	C7H16N2	16713-36-3
m-Octaphenyl	C48H34	16716-11-3
m-Quinquephenyl	C30H22	16716-13-5
Heptanophenone	C13H18O	1671-75-6
1-Pentanone, 1-(4-methylphenyl)-	C12H16O	1671-77-8
3-Benzenesulphonylthiophene	C10H8O2S2	16718-05-1
cis-Piperitol	C10H18O	16721-38-3
E-Piperitol	C10H18O	16721-39-4
Phosphorane, triphenyl(phenylmethylene)-	C25H21P	16721-45-2
Sodium hydrogen sulfide, anhydrous	NaHS	16721-80-5
Oxirane, 2-trimethylsilyl-	C5H12OSi	16722-09-1
1,1,5,5-Tetramethyl-cyclodecane	C14H28	16723-89-0
Methylamine, N,N-bis(N.-hexadecyl)-	C33H69N	16724-61-1
1-hexadecanamine, N-hexadecyl-	C32H67N	16724-63-3
Z-9-tetradecenyl acetate	C16H30O2	16725-53-4
4a Alpha,8a beta,9a beta,10a alpha-tetradecahydroacridine	C13H23N	16726-19-5
4-Hydroxyantipyrene	C11H12N2O2	1672-63-5
Molybdenum cation	Mo+	16727-12-1
Vanadium anion	V-	16727-17-6
Cobalt anion	Co-	16727-18-7
Naphthalene, 1-(2-methylpropyl)-	C14H16	16727-91-6
1,2,3,4,4A,7-hexahydro-1,6-dimethyl-4-(1-methylethyl)-naphthalene	C15H24	16728-99-7
LaC7 radical	C7La	167314-75-2
LaC9 radical	C9La	167314-76-3
LaC10 radical	C10La	167314-77-4
LaC11 radical	C11La	167314-78-5
LaC12 radical	C12La	167314-79-6
LaC13 radical	C13La	167314-80-9
LaC14 radical	C14La	167314-81-0
LaC15 radical	C15La	167314-82-1
LaC16 radical	C16La	167314-83-2
LaC17 radical	C17La	167314-84-3
LaC18 radical	C18La	167314-85-4
LaC19 radical	C19La	167314-86-5
LaC20 radical	C20La	167314-87-6
1-Cholestene	C27H46	16732-83-5
Cholest-3-ene	C27H46	16732-84-6
Cholest-4-ene	C27H46	16732-86-8
3-Chlorobenzhydrazide	C7H7ClN2O	1673-47-8
2-Methylbenzyl isothiocyanate	C9H9NS	16735-69-6
Semicarbazide, 1-(5-nitro-2-furoyl)-3-thio-,	C6H6N4O4S	1673-59-2
2,6-Octadiene, 2,7-dimethyl-	C10H18	16736-42-8
Ni43 radical	Ni43	167397-03-7
Ni100 radical	Ni100	167397-04-8
Cyclohexene, 1,2-dimethyl-	C8H14	1674-10-8
		167415-27-2
Tungsten,tetracarbonylbis(triphenylphosphine)-	C40H30O4P2W	16743-03-6
Nickel, bis(o,o-diethylphosphorodithioato-s,s')-	C8H20NiO4P2S4	16743-23-0
1,2-Dichloropentane	C5H10Cl2	1674-33-5
1-Octanone, 1-phenyl-	C14H20O	1674-37-9
Dodecanophenone	C18H28O	1674-38-0
5-Hexen-2-ol, 2-methyl-	C7H14O	16744-89-1
2-Fluorophenyl isocyanate	C7H4FNO	16744-98-2
1-Hexene, 3,4-dimethyl-	C8H16	16745-94-1
1-Pentene, 2-(1-methylethyl)	C8H16	16746-02-4
1-Hexene, 4-ethyl-	C8H16	16746-85-3
2,3-Dimethyl-1-hexene	C8H16	16746-86-4
2,4-Dimethyl-1-hexene	C8H16	16746-87-5
Hexane, 2,2,3-trimethyl-	C9H20	16747-25-4
Hexane, 2,2,4-trimethyl-	C9H20	16747-26-5
Hexane, 2,3,3-trimethyl-	C9H20	16747-28-7
Hexane, 2,4,4-trimethyl-	C9H20	16747-30-1
Hexane, 3,3,4-trimethyl-	C9H20	16747-31-2
Pentane, 3-ethyl-2,2-dimethyl-	C9H20	16747-32-3
Pentane, 3-ethyl-2,3-dimethyl-	C9H20	16747-33-4
Pentane, 2,3,3,4-tetramethyl-	C9H20	16747-38-9
hexane, 2,2,4,5-tetramethyl-	C10H22	16747-42-5
pentane, 2,2,3,3,4-pentamethyl-	C10H22	16747-44-7
pentane, 2,2,3,4,4-pentamethyl-	C10H22	16747-45-8
Cyclopentane, 1-ethyl-1-methyl-	C8H16	16747-50-5
Cyclohexane, 1,4-dichloro-, cis-	C6H10Cl2	16749-11-4
&#946;-Aminobutyronitrile	C4H8N2	16750-40-6
3-Hexanamine	C6H15N	16751-58-9
4-Aminoheptane	C7H17N	16751-59-0
Tetraphosphorus decaoxide	O10P4	16752-60-6
Methomyl	C5H10N2O2S	16752-77-5
1-Propene, 3,3',3''-[methylidynetris(oxy)]tris-	C10H16O3	16754-50-0
4,4'-Isopropylidene diphenol, diglycidyl ether-	C21H24O4	1675-54-3
Diphenyldiethynylsilane	C16H12Si	1675-57-6
Diphenylgermane	C12H12Ge	1675-58-7
Diethynyldiphenylgermane	C16H12Ge	1675-59-8
Silane, diethynyldimethyl-	C6H8Si	1675-60-1
Azeleonitrile	C9H14N2	1675-69-0
Xenon monofluoride	FXe	16757-14-5
Nicotine	C10H14N	16760-37-5
Lithium heptanoate	C7H13LiO2	16761-13-0
Benzene, 4-chloro-1,2-dimethoxy	C8H9ClO2	16766-27-1
Benzene, 3,4,5-trichloro-1,2-dimethoxy	C8H7Cl3O2	16766-29-3
2-Methoxy-4-chloro-phenol	C7H7ClO2	16766-30-6
Ethanone, 1-(4-ethoxyphenyl)-	C10H12O2	1676-63-7
3,3-Diethoxy-1-propanol	C7H16O3	16777-87-0
1-Ethyl-1,2,4-triazole	C4H7N3	16778-70-4
Ethanone, 1-phenyl-, (2,4-dinitrophenyl)hydrazone	C14H12N4O4	1677-87-8
4-Methoxybenzoyl isothiocyanate	C9H7NO2S	16778-84-0
3H-1,4-Benzodiazepin-2-one, 1,2-dihydro-	C9H8N2O	16780-62-4
Anti-tricyclo[4.1.0.0(2,4)]heptane	C7H10	16782-44-8
N-phenyl-benzene-sulfonamide	C12H11NO2S	1678-25-7
1H-Inden-1-one, octahydro-, trans-	C9H14O	16783-22-5
2-Benzyloxy-6-methoxybenzonitrile	C15H13NO2	167832-66-8
Dodecanoic acid, 2-hydroxy-1-(hydroxymethyl)ethyl ester	C15H30O4	1678-45-1
Cyclo-tetrakis(bis(dimethylamino)phosphonitrile)	C16H48N12P4	1678-56-4
CH2NO2	CH2NO2	16787-85-2
cis-1,2,cis-1,4-1,2,4-trimethylcyclohexane	C9H18	1678-80-4
Cyclohexane, 1,2,3-trimethyl-, (1.alpha.,2.beta.,3.alpha.)-	C9H18	1678-81-5
Cyclohexane, 1-methyl-4-(1-methylethyl)-, trans-	C10H20	1678-82-6
Cyclohexane, ethyl-	C8H16	1678-91-7
Cyclohexane, propyl-	C9H18	1678-92-8
Cyclohexane, butyl-	C10H20	1678-93-9
Hexane, 3-ethyl-2-methyl-	C9H20	16789-46-1
3-Ethyl-3-hexene	C8H16	16789-51-8
Cyclohexane, 1,2,3-trimethyl-	C9H18	1678-97-3
Cyclohexane, (2-methylpropyl)-	C10H20	1678-98-4
3-Bromo-2-hydroxy-5-nitrobenzaldehyde	C7H4BrNO4	16789-84-7
1,3-diethylcyclohexane	C10H20	1678-99-5
1,4-Diethylcyclohexane	C10H20	1679-00-1
Butyramide, n-(5-sulfamoyl-1,3,4-thiadiazol-2-yl)-	C6H10N4O3S2	16790-49-1
2-Hexanethiol	C6H14S	1679-06-7
Cyclopentanethiol	C5H10S	1679-07-8
1-Propanethiol, 2,2-dimethyl-	C5H12S	1679-08-9
2-Butanethiol, 2-methyl-	C5H12S	1679-09-0
1,5-Dimethylbiuret	C4H9N3O2	16791-94-9
Butanoic acid, 3-methyl, 1,1-dimethylethyl ester	C9H18O2	16792-03-3
3-Hexyn-2-one	C6H8O	1679-36-3
4-Chlorobenzoyl isothiocyanate	C8H4ClNOS	16794-67-5
4-Methylbenzoyl isothiocyanate	C9H7NOS	16794-68-6
2(3H)-Furanone, dihydro-3-methyl-	C5H8O2	1679-47-6
&#946;-methyl-&#947;-butyro-lactone	C5H8O2	1679-49-8
10-Hydroxydecanoic acid	C10H20O3	1679-53-4
Monomethyl terephthalate	C9H8O4	1679-64-7
1-Bromo-2-(3-chlorophenyl)ethane	C8H8BrCl	16799-05-6
2,4-Diazido-6-methylpyrimidine	C5H4N8	1680-11-1
1H-1,2,3-Triazole, 4-phenyl-	C8H7N3	1680-44-0
2-Phenyl-2-propyl radical	C9H11	16804-70-9
Naphthalene, 1,2,3,4-tetrahydro-6-methyl-	C11H14	1680-51-9
O-methyl,o-(2,4,5,-trichlorophenyl)-tert-butyl phosphoramidothioate	C11H15Cl3NO2PS	16805-76-8
O-(2,4,5-trichlorophenyl) n,n'-dimethyldiamidothiophosphate	C8H10Cl3N2OPS	16805-77-9
O-(2,4,5-trichlorophenyl) dichloridothiophosphate	C6H2Cl5OPS	16805-78-0
Naphthalene, 1-(1-methylpropyl)-	C14H16	1680-58-6
Purine, 2-amino-6-methyl-	C6H7N5	1681-10-3
Purine, 6-dimethylamino-2-methylthio-	C8H11N5S	1681-11-4
Purine, 2-chloro-	C5H3ClN4	1681-15-8
Nickel(ii) sulfide	NiS	16812-54-7
2-Heptadecanol	C17H36O	16813-18-6
Biuret, 1-(2-chloroethyl)-5-methyl-	C5H10ClN3O2	16813-28-8
Biuret, 1,5-bis(2-chloroethyl)-	C6H11Cl2N3O2	16813-30-2
1-Imidazolidinecarboxamide, n-(2-chloroethyl)-2-oxo-	C6H10ClN3O2	16813-33-5
1-Imidazolidinecarboxamide, n-(2-chloroethyl)-3-nitroso-2-oxo-	C6H9ClN4O3	16813-34-6
Hydrouracil, 1-nitroso-	C4H5N3O3	16813-36-8
Biurea, 1-(2-chloroethyl)-6-methyl-	C5H11ClN4O2	16813-41-5
Biurea, 1,6-bis(2-chloroethyl)-	C6H12Cl2N4O2	16813-42-6
Cyclohexanecarboxamide, n-(2-chloroethyl)-	C9H16ClNO	16813-44-8
1,6-Diphenylhexadiene	C18H18	16819-47-9
DL-5-Ethyl-5-methyl-2,4-imidazolidinedione	C6H10N2O2	16820-12-5
4-Amino-2,3,5,6-tetrafluoropyridine	C5H2F4N2	1682-20-8
3-Ethoxyphthalide	C10H10O3	16824-02-5
&#945;-D-Glucose hydrate	C6H12O6.H2O	16824-90-1
N,N-Diethylaminoisobutene	C8H17N	16826-16-7
Ruthenium, tris(1,1,1,5,5,5-hexafluoro-2,4-pentanedionato-o,o')-	C15H3F18O6Ru	16827-63-7
Cobalt, tris(1,1,1-trifluoro-2,4-pentanedionato-o,o'-)	C15H12CoF9O6	16827-64-8
Cyclohexene, 4,4-dimethoxy-	C8H14O2	16831-48-4
{P-[bis(2-hydroxyethyl)amino]benzyl}phosphonic acid, diethyl ester	C15H26NO5P	16834-57-4
CF3COOCH2CH2F	C4H4F4O2	1683-88-1
2-Methoxythiophene	C5H6OS	16839-97-7
1,5-Cyclododecadiene, (E,E)-	C12H20	1684-05-5
10-Nonadecanol	C19H40O	16840-84-9
Quinoxaline, 2,3-diphenyl-	C20H14N2	1684-14-6
Thiacyclohex-3-ene, 1,1-dioxide	C5H8O2S	16841-46-6
Thiacyclohex-2-ene, 1,1-dioxide	C5H8O2S	16841-51-3
Cobalt, tetracarbonyl hydride-	C4HCoO4	16842-03-8
cis-3,4-Dihydro-3,4-dimethyl-2,5-furandione	C6H8O3	16844-07-8
Octane, 2-chloro-, (S)-	C8H17Cl	16844-08-9
Propanoic acid, trimethylsilyl ester	C6H14O2Si	16844-98-7
Butanoic acid, trimethylsilyl ester	C7H16O2Si	16844-99-8
benzene, 1,1',1''-methylidynetris[4-methyl-	C22H22	16845-02-6
Methyl 2,6-dihydroxy-4-methylbenzoate	C9H10O4	16846-10-9
1-Benzenesulfonyl-1H-pyrrole	C10H9NO2S	16851-82-4
Phosphoric triamide, N,N,N',N&quot;-tetramethyl-	C4H14N3OP	16853-36-4
Lithium tetrahydroaluminate	H4AlLi	16853-85-3
4H-Pyran, 4-methyl-	C6H8O	16855-95-1
1H-Indene, 2,3-dihydro-4,6-dimethyl-	C11H14	1685-82-1
Thiothionyl fluoride	F2S2	16860-99-4
3-Oxatricyclo[4.1.1.02,4]octane, 2,7,7-trimethyl-	C10H16O	1686-14-2
1,5-p-menthadien-8-ol	C10H16O	1686-20-0
8-Hydroxyquinoline, hydrochloride	C9H7NO.ClH	16862-11-6
Triethoxo-oxovanadium	C6H15O4V	1686-22-2
Alpha myrcene	C10H16	1686-30-2
Methyl sandaracopimarate	C21H32O2	1686-54-0
Sandaracopimaradiene	C20H32	1686-56-2
Methyl isopimarate	C21H32O2	1686-62-0
Isopimaradiene	C20H32	1686-66-4
Rimuene	C20H32	1686-67-5
2-Amino-3-hydroxypyridine	C5H6N2O	16867-03-1
3-Hydroxy-2(1h)-pyridone	C5H5NO2	16867-04-2
ClBrBr-	Br2Cl-	16871-87-7
1,2-Dicarbadodecaborane(12)	C2H12B10	16872-09-6
1,2-Dicarbadodecaborane(12), 1-methyl-	C3H14B10	16872-10-9
3-Nitroso-2-imidazolidone-1-(n-methylcarboxamide)	C5H8N4O3	16872-50-7
1,2-Cyclohexanedicarboxylic acid, dimethyl ester, cis-	C10H16O4	1687-29-2
Deuterium	D	16873-17-9
1-Ethyl-3-methyladamantane	C13H22	1687-34-9
1-Ethyl-3,5-dimethyladamantane	C14H24	1687-35-0
Succinamide, n,n'-dimethyl-,	C6H12N2O2	16873-50-0
1,3,5,7-Tetramethyladamantane	C14H24	1687-36-1
2-Furancarboxylic acid, tetrahydro-	C5H8O3	16874-33-2
2-Quinazolinamine	C8H7N3	1687-51-0
5-Amino-2-methoxyphenol	C7H9NO2	1687-53-2
Dihydroxyglyoxime	C2H4N2O4	1687-60-1
Phenol, 2-ethyl-5-methyl-	C9H12O	1687-61-2
Phenol, 2-ethyl-6-methyl-	C9H12O	1687-64-5
5-ethyl-2-methylphenol	C9H12O	1687-65-6
6-Chloro-2-pyridinol	C5H4ClNO	16879-02-0
		168833-80-5
Cyclopentane, 1,2,4-trimethyl-, (1.alpha.,2.beta.,4.alpha.)-	C8H16	16883-48-0
indole, 1-isopropyl-	C11H13N	16885-99-7
Chlorine anion	Cl-	16887-00-6
Lu+	Lu+	16887-05-1
1-(4-Aminophenyl)-1-butanone	C10H13NO	1688-71-7
Mercuric hexadecanoate	C32H64HgO4	16888-60-1
Isobutyric acid, tert-butyl ester	C8H16O2	16889-72-8
HC(O)SH	CH2OS	16890-80-5
FClF-	ClF2-	16892-05-0
1,3,5-Trithia-2,4,6-tristannacyclohexane, 2,2,4,4,6,6-hexamethyl-	C6H18S3Sn3	16892-64-1
1,3,5-Heptatriene, 6,6-dimethyl-, (E)-	C8H12	16895-46-8
9H-fluoren-9-ol	C13H10O	1689-64-1
Bibenzyl, &#945;,&#945;'-epoxy-, cis-	C14H12O	1689-71-0
Thiophene, 2,5-bis(1,1-dimethylethyl)-	C12H20S	1689-77-6
Thiophene, 2-(1,1-dimethylethyl)-	C8H12S	1689-78-7
Thiophene, 3-(1,1-dimethylethyl)-	C8H12S	1689-79-8
Phenol, 4-(phenylazo)-	C12H10N2O	1689-82-3
Benzonitrile, 4-hydroxy-3,5-diiodo-	C7H3I2NO	1689-83-4
Benzonitrile, 3,5-dibromo-4-hydroxy-	C7H3Br2NO	1689-84-5
Piperidine, 4,4'-(1,3-propanediyl)bis-	C13H26N2	16898-52-5
Nitroxynil	C7H3IN2O3	1689-89-0
4-Octanoate-3,5-dichlorobenzonitrile	C15H17Cl2NO2	1689-98-1
Octanoic acid, 2,6-dibromo-4-cyanophenyl ester	C15H17Br2NO2	1689-99-2
5-Thiatridecane	C12H26S	16900-07-5
Benzoic acid, 4,4'-(tetramethyl-1,3-cyclobutanediylidenedinitrilo)di-, diethyl ester	C26H30N2O4	1690-30-8
Hydrogen fluoride trimer	H3F3	16904-65-7
Cyclopropane, 1-ethenyl-1-methyl-	C6H10	16906-27-7
(Z)-1,2-Bis(benzylthio)-ethylene	C16H16S2	16906-37-9
1,1,1',1'-Tetrafluorodimethyl ether	C2H2F4O	1691-17-4
Dinaphtho[2,1-c:1',2'-g]phenanthrene	C30H18	16914-68-4
Krypton cation	Kr+	16915-28-9
Indan, 3a,7a-dihydro-	C9H12	16915-50-7
Molybdenum, pentacarbonyl(trimethylphosphine)-	C8H9MoO5P	16917-96-7
Chlorofluoromethylene	CClF	1691-88-9
Chlorodifluoromethyl radical	CClF2	1691-89-0
Dichlorofluoromethyl radical	CCl2F	1691-90-3
Tin dichloride bis(2,4-pentanedionate)	C10H14Cl2O4Sn	16919-46-3
Iodine fluoride	F7I	16921-96-3
N,N,N',N'-Tetrafluoro-4-methyl-1,2-pentanediamine	C6H12F4N2	1692-57-5
4-(2-Methylphenyl)-but-3-en-2-one	C11H12O	16927-82-5
Ethyl 2-heptynoate	C9H14O2	16930-95-3
Hexyl tiglate	C11H20O2	16930-96-4
2,6-Dimethoxybenzonitrile	C9H9NO2	16932-49-3
9H-Thioxanthen-9-one, 2-(trifluoromethyl)-	C14H7F3OS	1693-28-3
diindenochrysene radical	C26H12	169331-80-0
1,1,3,3,5,5-Hexamethyl-7,7-diphenylcyclotetrasiloxane	C18H28O4Si4	1693-44-3
1,1,3,3,5,5-Hexaphenyl-7,7-dimethylcyclotetrasiloxane	C38H36O4Si4	1693-46-5
2,2,4,4-tetramethyl-6,6,8,8-tetraphenylcyclotetrasiloxane	C28H32O4Si4	1693-47-6
Diphenyltetramethylcyclotrisiloxane	C16H22O3Si3	1693-51-2
(+)&#946;-Desmotroposantonin methyl ether	C16H20O3	1693-61-4
4H-Pyrido[1,2-a]pyrimidin-4-one, 2-methyl	C9H8N2O	1693-94-3
(E)-1-Phenyl-1,3-butadiene	C10H10	16939-57-4
Sodium tetrahydroborate	H4BNa	16940-66-2
Benzene,1-methoxy-4-(methylseleno)-	C8H10OSe	1694-07-1
Pyridium hexafluorophosphate	C5H6F6NP	16941-15-4
trans-4-Mononitrostilbene	C14H11NO2	1694-20-8
3-Chloro.2,4-pentanedione	C5H7ClO2	1694-29-7
Butanoic acid, 3-oxo-, 1,1-dimethylethyl ester	C8H14O3	1694-31-1
Methanone,(2-chlorophenyl)-2-pyridinyl-	C12H8ClNO	1694-57-1
Benzenamine, 2,6-dimethyl-4-nitro-	C8H10N2O2	16947-63-0
Desmethylmedazepam	C15H13ClN2	1694-78-6
Lithium tetrahydroborate	H4BLi	16949-15-8
Rhodium, hydrotetrakis(phosphorus trifluoride)-	HF12P4Rh	16949-48-7
Butadiyne-d2	C4D2	16954-96-4
Bicyclo[1.1.0]butane-1-carbonitrile	C5H5N	16955-35-4
2-Pentenoic acid, 2-methyl-, (E)-	C6H10O2	16957-70-3
3-Bromobenzothiophene sulfone	C8H5BrO2S	16957-97-4
Florosenine	C21H29NO8	16958-30-8
Octyl trichloroacetate	C10H17Cl3O2	16958-78-4
Hexadecanoic acid, octyl ester	C24H48O2	16958-85-3
Propanedioic acid, dioctyl ester	C19H36O4	16958-88-6
cis-1-Propenyl isobutyl ether	C7H14O	16958-99-9
n-Tridecanoic acid, trimethylsilyl ester	C16H34O2Si	169597-14-2
Tris[4-(1-phenylethyl)phenyl] phosphate	C42H39O4P	16960-08-0
N,N-Diethylbenzamide	C11H15NS	1696-17-9
Morpholine, 4-acetyl-	C6H11NO2	1696-20-4
tert-Butyl 2,4,5-trichlorophenyl carbonate	C11H11Cl3O3	16965-08-5
Silane, isoselenocyanatotrimethyl-	C4H9NSeSi	16966-40-8
1-Phenyl-1-octyne	C14H18	16967-02-5
2,2'-Dinitrobibenzyl	C14H12N2O4	16968-19-7
Ether, ethyl 4-methyl-1-pentyl, (E)	C8H16O	16969-14-5
1-Butene, 1-ethoxy-3-methyl-, (E)	C7H14O	16969-18-9
Ether, 3,3-dimethyl-1-butenyl ethyl	C8H16O	16969-19-0
cis-(4-Methyl-1-pentenyl) ethyl ether	C8H16O	16969-29-2
cis-(3-Methyl-1-butenyl) ethyl ether	C7H14O	16969-31-6
Dimethylammonium tetrafluoroborate	C2H8BF4N	16970-97-1
BH4-	H4B-	16971-29-2
Hydromanganese pentacarbonyl	C5HMnO5	16972-33-1
4-(Methylsulfonyl)morpholine	C5H11NO3S	1697-34-3
Z-7-tetradecenyl acetate	C16H30O2	16974-10-0
Z-9-dodecenyl acetate	C14H26O2	16974-11-1
Pinonic acid methyl ester	C11H18O3	16978-11-3
